Timestamp,MTOA SOLAR,LTA SOLAR,STOA SOLAR,NON SOLAR ( WIND / HYDRO)
01-01-2022 00:00,0,0,0,-0.63
01-01-2022 00:15,0,0,0,-0.59
01-01-2022 00:30,0,0,0,-0.62
01-01-2022 00:45,0,0,0,-0.59
01-01-2022 01:00,0,0,0,-0.6
01-01-2022 01:15,0,0,0,-0.59
01-01-2022 01:30,0,0,0,-0.57
01-01-2022 01:45,0,0,0,-0.58
01-01-2022 02:00,0,0,0,-0.57
01-01-2022 02:15,0,0,0,-0.55
01-01-2022 02:30,0,0,0,-0.56
01-01-2022 02:45,0,0,0,-0.55
01-01-2022 03:00,0,0,0,-6.75
01-01-2022 03:15,0,0,0,-6.74
01-01-2022 03:30,0,0,0,-6.74
01-01-2022 03:45,0,0,0,-6.72
01-01-2022 04:00,0,0,0,-6.72
01-01-2022 04:15,0,0,0,-6.71
01-01-2022 04:30,0,0,0,-3.89
01-01-2022 04:45,0,0,0,-3.87
01-01-2022 05:00,0,0,0,-3.86
01-01-2022 05:15,0,0,0,-3.86
01-01-2022 05:30,0,0,0,-3.86
01-01-2022 05:45,0,0,0,-3.85
01-01-2022 06:00,0,0,0,-3.85
01-01-2022 06:15,0,0,0,-3.84
01-01-2022 06:30,0,0,0,-3.84
01-01-2022 06:45,0,0,0,-3.83
01-01-2022 07:00,0,0.59,2,-3.82
01-01-2022 07:15,0,1.12,3.79605,-3.81
01-01-2022 07:30,0,1.96,5.534595,-15.27
01-01-2022 07:45,0,2.58,7.41314,-15.02
01-01-2022 08:00,0,4.9,10.56418,-15.19
01-01-2022 08:15,0,7.83,15.42522,-15.2
01-01-2022 08:30,0,5.22,23.16836,-15.82
01-01-2022 08:45,0,5.98,28.57335,-17.06
01-01-2022 09:00,0,6.71,48.947945,-18.86
01-01-2022 09:15,0,7.38,57.56649,-20.46
01-01-2022 09:30,0,10.76,75.198985,-21.3
01-01-2022 09:45,0,11.52,83.35358,-21.91
01-01-2022 10:00,0,12.14,86.108175,-22.43
01-01-2022 10:15,0,12.68,88.51067,-22.65
01-01-2022 10:30,0,13.06,90.87672,-23.06
01-01-2022 10:45,0,13.34,92.633165,-25.31
01-01-2022 11:00,0,13.6,93.94171,-25.78
01-01-2022 11:15,0,15.88,94.85776,-26.11
01-01-2022 11:30,0,16.03,95.684205,-26.6
01-01-2022 11:45,0,16.17,96.340255,-26.87
01-01-2022 12:00,0,16.18,96.400255,-28.69
01-01-2022 12:15,0,16.17,96.236305,-28.79
01-01-2022 12:30,0,17.64,95.916305,-28.69
01-01-2022 12:45,0,17.46,95.540255,-28.79
01-01-2022 13:00,0,17.2,94.434205,-28.69
01-01-2022 13:15,0,16.88,93.82776,-28.79
01-01-2022 13:30,0,16.52,92.08171,-28.69
