Timestamp,MTOA SOLAR,LTA SOLAR,STOA SOLAR,NON SOLAR ( WIND / HYDRO)
01-01-22 00:00,0,0,0,26.77614
01-01-22 00:15,0,0,0,26.55614
01-01-22 00:30,0,0,0,26.33614
01-01-22 00:45,0,0,0,26.10614
01-01-22 01:00,0,0,0,25.91614
01-01-22 01:15,0,0,0,25.73614
01-01-22 01:30,0,0,0,25.51614
01-01-22 01:45,0,0,0,25.24614
01-01-22 02:00,0,0,0,24.51709
01-01-22 02:15,0,0,0,24.18709
01-01-22 02:30,0,0,0,24.01709
01-01-22 02:45,0,0,0,22.90709
01-01-22 03:00,0,0,0,13.87709
01-01-22 03:15,0,0,0,11.49709
01-01-22 03:30,0,0,0,11.70709
01-01-22 03:45,0,0,0,11.89709
01-01-22 04:00,0,0,0,12.09709
01-01-22 04:15,0,0,0,12.30709
01-01-22 04:30,0,0,0,24.89709
01-01-22 04:45,0,0,0,25.24709
01-01-22 05:00,0,0,0,25.87709
01-01-22 05:15,0,0,0,25.63709
01-01-22 05:30,0,0,0,25.39709
01-01-22 05:45,0,0,0,25.15709
01-01-22 06:00,0,0,0,33.93709
01-01-22 06:15,0,0,0,33.73709
01-01-22 06:30,0,0,0,31.70709
01-01-22 06:45,0,0,0.29,31.49709
01-01-22 07:00,0,0.02,1.34,31.23709
01-01-22 07:15,0,0.36,3.92581,30.99709
01-01-22 07:30,0,1.06,7.174078,30.71709
01-01-22 07:45,0,2.21,11.847737,30.47709
01-01-22 08:00,0,4.33,15.851815,31.40709
01-01-22 08:15,0,7.22,20.065474,30.99709
01-01-22 08:30,0,9.86,25.223323,30.52709
01-01-22 08:45,0,12.02,29.037401,29.85709
01-01-22 09:00,0,13.85,33.047289,28.36709
01-01-22 09:15,0,15.64,37.648909,27.52709
01-01-22 09:30,0,17,42.318797,23.50709
01-01-22 09:45,0,18.28,46.612875,22.88709
01-01-22 10:00,0,19.3,48.610724,22.28709
01-01-22 10:15,0,20.33,52.438573,21.82709
01-01-22 10:30,0,21.16,55.110612,15.43709
01-01-22 10:45,0,21.97,57.692232,15.42709
01-01-22 11:00,0,20.37,58.752232,15.32709
01-01-22 11:15,0,20.78,69.368461,15.33709
01-01-22 11:30,0,21.15,79.044271,15.25709
01-01-22 11:45,0,21.39,79.42631,15.11709
01-01-22 12:00,0,21.47,76.55212,14.98709
01-01-22 12:15,0,21.47,72.324159,15.03709
01-01-22 12:30,0,21.39,76.829969,20.02709
01-01-22 12:45,0,21.41,79.034159,20.42709
01-01-22 13:00,0,21.24,76.538349,20.82709
01-01-22 13:15,0,20.74,74.53212,21.21709
01-01-22 13:30,0,20.26,72.71631,21.63709
01-01-22 13:45,0,19.81,72.824271,18.89709
01-01-22 14:00,0,19.32,74.358461,19.11966
01-01-22 14:15,0,18.56,70.432232,19.62966
01-01-22 14:30,0,17.69,70.056422,19.93966
01-01-22 14:45,0,16.6,66.044383,20.22966
01-01-22 15:00,0,15.46,59.518573,16.40966
01-01-22 15:15,0,14.24,53.210724,16.20966
01-01-22 15:30,0,14.46,49.288685,15.98966
01-01-22 15:45,0,12.82,43.658797,15.96966
01-01-22 16:00,0,11.13,26.525138,15.94966
01-01-22 16:15,0,9.06,19.54106,15.98966
01-01-22 16:30,0,6.5,14.011172,15.96966
01-01-22 16:45,0,3.6,10.853323,15.44966
01-01-22 17:00,0,1.69,5.323435,15.48966
01-01-22 17:15,0,0.69,2.077737,15.45966
01-01-22 17:30,0,0.22,0.749888,15.44966
01-01-22 17:45,0,0,0.182039,15.48966
01-01-22 18:00,0,0,0,15.74709
01-01-22 18:15,0,0,0,15.39709
01-01-22 18:30,0,0,0,16.56709
01-01-22 18:45,0,0,0,16.55709
01-01-22 19:00,0,0,0,16.54709
01-01-22 19:15,0,0,0,16.60709
01-01-22 19:30,0,0,0,16.59709
01-01-22 19:45,0,0,0,16.62709
01-01-22 20:00,0,0,0,18.18614
01-01-22 20:15,0,0,0,18.16614
01-01-22 20:30,0,0,0,18.17614
01-01-22 20:45,0,0,0,18.23614
01-01-22 21:00,0,0,0,9.24614
01-01-22 21:15,0,0,0,9.21614
01-01-22 21:30,0,0,0,7.25614
01-01-22 21:45,0,0,0,7.23614
01-01-22 22:00,0,0,0,7.24614
01-01-22 22:15,0,0,0,7.31614
01-01-22 22:30,0,0,0,7.29614
01-01-22 22:45,0,0,0,7.29614
01-01-22 23:00,0,0,0,7.25614
01-01-22 23:15,0,0,0,7.22614
01-01-22 23:30,0,0,0,7.22614
01-01-22 23:45,0,0,0,7.25614
02-01-22 00:00,0,0,0,-4.40574
02-01-22 00:15,0,0,0,-4.17574
02-01-22 00:30,0,0,0,-4.13574
02-01-22 00:45,0,0,0,-3.93574
02-01-22 01:00,0,0,0,-3.56574
02-01-22 01:15,0,0,0,-3.33574
02-01-22 01:30,0,0,0,-3.36574
02-01-22 01:45,0,0,0,-4.33574
02-01-22 02:00,0,0,0,-4.61469
02-01-22 02:15,0,0,0,-4.41469
02-01-22 02:30,0,0,0,-4.21469
02-01-22 02:45,0,0,0,-4.21469
02-01-22 03:00,0,0,0,-4.14469
02-01-22 03:15,0,0,0,-3.91469
02-01-22 03:30,0,0,0,-4.70469
02-01-22 03:45,0,0,0,-4.27469
02-01-22 04:00,0,0,0,-3.86469
02-01-22 04:15,0,0,0,-3.66469
02-01-22 04:30,0,0,0,-3.66469
02-01-22 04:45,0,0,0,-3.66469
02-01-22 05:00,0,0,0,-4.67469
02-01-22 05:15,0,0,0,-4.26469
02-01-22 05:30,0,0,0,-4.07469
02-01-22 05:45,0,0,0,-3.90469
02-01-22 06:00,0,0,0,-3.50469
02-01-22 06:15,0,0,0,-3.10469
02-01-22 06:30,0,0,0,-4.70469
02-01-22 06:45,0,0,0.29,-4.31469
02-01-22 07:00,0,0.01,1.34,-4.14469
02-01-22 07:15,0,0.3,3.92579,-3.95469
02-01-22 07:30,0,0.91,7.364002,-4.01469
02-01-22 07:45,0,1.86,12.227583,-4.21469
02-01-22 08:00,0,3.37,16.331585,-3.21469
02-01-22 08:15,0,5.64,20.635166,-3.21469
02-01-22 08:30,0,7.93,25.792957,-3.21469
02-01-22 08:45,0,9.72,29.896959,-3.61469
02-01-22 09:00,0,11.31,33.996751,-3.61469
02-01-22 09:15,0,12.86,38.688331,-4.41469
02-01-22 09:30,0,14.2,43.178123,-0.70469
02-01-22 09:45,0,15.74,47.282125,-1.30469
02-01-22 10:00,0,17.01,49.379916,-1.70469
02-01-22 10:15,0,17.91,53.287707,-2.30469
02-01-22 10:30,0,18.68,55.779708,-2.75469
02-01-22 10:45,0,19.38,58.081288,-4.55469
02-01-22 11:00,0,20.06,68.811288,-4.57469
02-01-22 11:15,0,20.83,79.627499,-4.59469
02-01-22 11:30,0,21.16,80.393289,-4.55469
02-01-22 11:45,0,21.48,80.95529,-4.57469
02-01-22 12:00,0,21.79,81.14108,-4.59469
02-01-22 12:15,0,21.98,81.713081,-4.55469
02-01-22 12:30,0,22.01,81.998871,-4.57469
02-01-22 12:45,0,21.68,81.043081,-4.59469
02-01-22 13:00,0,21.29,80.087291,-4.55469
02-01-22 13:15,0,20.76,78.17108,-4.57469
02-01-22 13:30,0,20.12,77.50529,-4.59469
02-01-22 13:45,0,19.56,77.033289,-4.55469
02-01-22 14:00,0,18.61,73.967499,-4.86206
02-01-22 14:15,0,17.94,72.921288,-4.88206
02-01-22 14:30,0,16.96,72.255498,-4.84206
02-01-22 14:45,0,15.91,66.413497,-4.86206
02-01-22 15:00,0,14.97,62.677707,15.11794
02-01-22 15:15,0,13.76,57.709916,15.15794
02-01-22 15:30,0,12.46,51.107915,14.99794
02-01-22 15:45,0,11.12,43.848123,15.00794
02-01-22 16:00,0,9.39,37.054542,15.01794
02-01-22 16:15,0,7.26,20.78054,14.99794
02-01-22 16:30,0,4.86,14.680748,15.06794
02-01-22 16:45,0,2.74,10.952957,15.10794
02-01-22 17:00,0,1.54,5.413165,14.88794
02-01-22 17:15,0,0.74,3.227583,14.91794
02-01-22 17:30,0,0.21,0.839792,14.93794
02-01-22 17:45,0,0,0.182001,14.96794
02-01-22 18:00,0,0,0,15.24531
02-01-22 18:15,0,0,0,18.69531
02-01-22 18:30,0,0,0,21.33531
02-01-22 18:45,0,0,0,21.14531
02-01-22 19:00,0,0,0,21.02531
02-01-22 19:15,0,0,0,20.47531
02-01-22 19:30,0,0,0,33.31531
02-01-22 19:45,0,0,0,32.26531
02-01-22 20:00,0,0,0,31.83426
02-01-22 20:15,0,0,0,30.85426
02-01-22 20:30,0,0,0,29.90426
02-01-22 20:45,0,0,0,23.21426
02-01-22 21:00,0,0,0,22.98426
02-01-22 21:15,0,0,0,22.46426
02-01-22 21:30,0,0,0,22.32426
02-01-22 21:45,0,0,0,22.19426
02-01-22 22:00,0,0,0,22.11426
02-01-22 22:15,0,0,0,22.01426
02-01-22 22:30,0,0,0,21.89426
02-01-22 22:45,0,0,0,18.50426
02-01-22 23:00,0,0,0,18.96426
02-01-22 23:15,0,0,0,19.35426
02-01-22 23:30,0,0,0,21.11426
02-01-22 23:45,0,0,0,21.76426
03-01-22 00:00,0,0,0,23.97531
03-01-22 00:15,0,0,0,25.78531
03-01-22 00:30,0,0,0,30.36531
03-01-22 00:45,0,0,0,32.74531
03-01-22 01:00,0,0,0,35.25531
03-01-22 01:15,0,0,0,36.25531
03-01-22 01:30,0,0,0,37.04531
03-01-22 01:45,0,0,0,38.85531
03-01-22 02:00,0,0,0,32.67531
03-01-22 02:15,0,0,0,34.22531
03-01-22 02:30,0,0,0,30.18531
03-01-22 02:45,0,0,0,31.53531
03-01-22 03:00,0,0,0,32.73531
03-01-22 03:15,0,0,0,33.62531
03-01-22 03:30,0,0,0,41.19531
03-01-22 03:45,0,0,0,42.78531
03-01-22 04:00,0,0,0,48.13531
03-01-22 04:15,0,0,0,48.18531
03-01-22 04:30,0,0,0,47.88531
03-01-22 04:45,0,0,0,47.56531
03-01-22 05:00,0,0,0,47.41531
03-01-22 05:15,0,0,0,46.24531
03-01-22 05:30,0,0,0,46.18531
03-01-22 05:45,0,0,0,46.14531
03-01-22 06:00,0,0,0,44.30794
03-01-22 06:15,0,0,0,39.37794
03-01-22 06:30,0,0,0,39.42794
03-01-22 06:45,0,0,0.29,39.50794
03-01-22 07:00,0,0.01,1.15,39.59794
03-01-22 07:15,0,0.3,3.64579,39.68794
03-01-22 07:30,0,0.91,6.694002,39.79794
03-01-22 07:45,0,1.86,11.277583,39.83794
03-01-22 08:00,0,3.37,14.991585,39.87794
03-01-22 08:15,0,5.64,19.005166,39.89794
03-01-22 08:30,0,7.93,23.692957,39.97794
03-01-22 08:45,0,9.72,27.986959,40.02794
03-01-22 09:00,0,11.31,31.986751,38.33794
03-01-22 09:15,0,12.86,36.388331,36.60794
03-01-22 09:30,0,14.2,41.258123,34.31794
03-01-22 09:45,0,15.74,45.272125,32.14794
03-01-22 10:00,0,17.01,47.269916,29.47794
03-01-22 10:15,0,17.91,50.997707,25.70794
03-01-22 10:30,0,18.68,53.669708,24.67794
03-01-22 10:45,0,19.38,56.261288,24.69794
03-01-22 11:00,0,20.06,57.501288,19.60794
03-01-22 11:15,0,20.9,58.357499,19.59794
03-01-22 11:30,0,21.28,59.123289,19.80794
03-01-22 11:45,0,22.07,59.68529,20.00794
03-01-22 12:00,0,22.1,60.16108,20.19794
03-01-22 12:15,0,22.43,60.063081,20.60794
03-01-22 12:30,0,22.29,69.348871,29.91794
03-01-22 12:45,0,22.08,68.973081,30.13794
03-01-22 13:00,0,21.75,68.007291,30.72794
03-01-22 13:15,0,21.43,66.39108,31.30794
03-01-22 13:30,0,21.02,62.55529,31.97794
03-01-22 13:45,0,20.31,62.373289,35.28794
03-01-22 14:00,0,19.83,62.957499,39.84794
03-01-22 14:15,0,19.02,61.811288,40.85794
03-01-22 14:30,0,17.96,59.325498,41.90794
03-01-22 14:45,0,17.04,57.033497,43.12794
03-01-22 15:00,0,16.1,44.377707,44.34794
03-01-22 15:15,0,14.84,40.849916,45.53794
03-01-22 15:30,0,13.44,36.067915,53.36794
03-01-22 15:45,0,12.05,31.008123,53.05794
03-01-22 16:00,0,10.39,26.524542,52.31794
03-01-22 16:15,0,8.48,20.21054,51.81794
03-01-22 16:30,0,6.31,14.390748,51.24794
03-01-22 16:45,0,3.77,10.472957,56.55794
03-01-22 17:00,0,1.98,5.033165,56.97794
03-01-22 17:15,0,0.85,1.887583,57.35794
03-01-22 17:30,0,0.31,0.749792,57.77794
03-01-22 17:45,0,0.02,0.182001,57.82794
03-01-22 18:00,0,0,0,64.64531
03-01-22 18:15,0,0,0,58.93531
03-01-22 18:30,0,0,0,59.30531
03-01-22 18:45,0,0,0,59.61531
03-01-22 19:00,0,0,0,60.03531
03-01-22 19:15,0,0,0,55.63531
03-01-22 19:30,0,0,0,56.22531
03-01-22 19:45,0,0,0,56.64531
03-01-22 20:00,0,0,0,57.23689
03-01-22 20:15,0,0,0,57.97689
03-01-22 20:30,0,0,0,58.49689
03-01-22 20:45,0,0,0,67.28689
03-01-22 21:00,0,0,0,67.77689
03-01-22 21:15,0,0,0,68.15689
03-01-22 21:30,0,0,0,68.37689
03-01-22 21:45,0,0,0,68.75689
03-01-22 22:00,0,0,0,69.00689
03-01-22 22:15,0,0,0,63.42689
03-01-22 22:30,0,0,0,63.64689
03-01-22 22:45,0,0,0,63.78689
03-01-22 23:00,0,0,0,64.18689
03-01-22 23:15,0,0,0,68.50689
03-01-22 23:30,0,0,0,68.65689
03-01-22 23:45,0,0,0,69.13689
04-01-22 00:00,0,0,0,71.41531
04-01-22 00:15,0,0,0,71.10531
04-01-22 00:30,0,0,0,70.78531
04-01-22 00:45,0,0,0,70.72531
04-01-22 01:00,0,0,0,70.45531
04-01-22 01:15,0,0,0,69.78531
04-01-22 01:30,0,0,0,69.35531
04-01-22 01:45,0,0,0,68.94531
04-01-22 02:00,0,0,0,69.90794
04-01-22 02:15,0,0,0,69.51794
04-01-22 02:30,0,0,0,69.50794
04-01-22 02:45,0,0,0,63.06794
04-01-22 03:00,0,0,0,62.18794
04-01-22 03:15,0,0,0,61.87794
04-01-22 03:30,0,0,0,63.71794
04-01-22 03:45,0,0,0,63.47794
04-01-22 04:00,0,0,0,63.46794
04-01-22 04:15,0,0,0,63.32794
04-01-22 04:30,0,0,0,63.24794
04-01-22 04:45,0,0,0,63.13794
04-01-22 05:00,0,0,0,63.09794
04-01-22 05:15,0,0,0,62.93794
04-01-22 05:30,0,0,0,62.92794
04-01-22 05:45,0,0,0,62.71794
04-01-22 06:00,0,0,0,62.18899
04-01-22 06:15,0,0,0,62.07899
04-01-22 06:30,0,0,0,61.98899
04-01-22 06:45,0,0,0.19,61.97899
04-01-22 07:00,0,0.01,0.96,61.77899
04-01-22 07:15,0,0.3,3.16579,61.66899
04-01-22 07:30,0,0.91,5.924002,61.92899
04-01-22 07:45,0,1.86,9.937583,59.12899
04-01-22 08:00,0,3.37,13.271585,59.13899
04-01-22 08:15,0,5.64,16.715166,59.16899
04-01-22 08:30,0,7.93,20.242957,59.21899
04-01-22 08:45,0,9.72,24.056959,59.26899
04-01-22 09:00,0,11.31,25.666751,56.95899
04-01-22 09:15,0,12.86,31.128331,56.16899
04-01-22 09:30,0,9.94,36.278123,53.09899
04-01-22 09:45,0,11.02,41.142125,52.14899
04-01-22 10:00,0,14.29,42.959916,50.43899
04-01-22 10:15,0,15.04,43.237707,48.02899
04-01-22 10:30,0,17.93,46.769708,40.69899
04-01-22 10:45,0,18.61,51.271288,38.78899
04-01-22 11:00,0,19.26,52.901288,36.66899
04-01-22 11:15,0,19.99,48.197499,36.36899
04-01-22 11:30,0,21.93,44.363289,35.63899
04-01-22 11:45,0,23.2,46.17529,41.70899
04-01-22 12:00,0,23.53,49.05108,55.58899
04-01-22 12:15,0,23.74,63.983081,56.04899
04-01-22 12:30,0,23.76,64.468871,56.89899
04-01-22 12:45,0,23.42,61.883081,57.72899
04-01-22 13:00,0,22.99,58.907291,69.58899
04-01-22 13:15,0,22.42,60.74108,69.75899
04-01-22 13:30,0,21.73,60.45529,70.08899
04-01-22 13:45,0,21.13,56.723289,70.23899
04-01-22 14:00,0,20.09,56.247499,69.89794
04-01-22 14:15,0,19.38,52.811288,69.96794
04-01-22 14:30,0,18.31,52.615498,69.90794
04-01-22 14:45,0,17.19,49.653497,69.74794
04-01-22 15:00,0,16.17,39.887707,69.66794
04-01-22 15:15,0,14.87,34.329916,69.53794
04-01-22 15:30,0,13.46,31.467915,69.22794
04-01-22 15:45,0,12.01,26.798123,69.17794
04-01-22 16:00,0,10.14,23.454542,68.91794
04-01-22 16:15,0,7.84,19.36054,68.61794
04-01-22 16:30,0,5.25,14.580748,68.38794
