local_time,electricity
01-01-2022 00:30,0
01-01-2022 01:30,0
01-01-2022 02:30,0
01-01-2022 03:30,0
01-01-2022 04:30,0
01-01-2022 05:30,0
01-01-2022 06:30,0.013
01-01-2022 07:30,0.272
01-01-2022 08:30,0.502
01-01-2022 09:30,0.655
01-01-2022 10:30,0.749
01-01-2022 11:30,0.792
01-01-2022 12:30,0.79
01-01-2022 13:30,0.743
01-01-2022 14:30,0.644
01-01-2022 15:30,0.488
01-01-2022 16:30,0.262
01-01-2022 17:30,0.023
01-01-2022 18:30,0
01-01-2022 19:30,0
01-01-2022 20:30,0
01-01-2022 21:30,0
01-01-2022 22:30,0
01-01-2022 23:30,0
02-01-2022 00:30,0
02-01-2022 01:30,0
02-01-2022 02:30,0
02-01-2022 03:30,0
02-01-2022 04:30,0
02-01-2022 05:30,0
02-01-2022 06:30,0.015
02-01-2022 07:30,0.276
02-01-2022 08:30,0.492
02-01-2022 09:30,0.64
02-01-2022 10:30,0.735
02-01-2022 11:30,0.777
02-01-2022 12:30,0.768
02-01-2022 13:30,0.712
02-01-2022 14:30,0.608
02-01-2022 15:30,0.449
02-01-2022 16:30,0.222
02-01-2022 17:30,0.018
02-01-2022 18:30,0
02-01-2022 19:30,0
02-01-2022 20:30,0
02-01-2022 21:30,0
02-01-2022 22:30,0
02-01-2022 23:30,0
03-01-2022 00:30,0
03-01-2022 01:30,0
03-01-2022 02:30,0
03-01-2022 03:30,0
03-01-2022 04:30,0
03-01-2022 05:30,0
03-01-2022 06:30,0.011
03-01-2022 07:30,0.244
03-01-2022 08:30,0.476
03-01-2022 09:30,0.631
03-01-2022 10:30,0.728
03-01-2022 11:30,0.779
03-01-2022 12:30,0.78
03-01-2022 13:30,0.733
03-01-2022 14:30,0.64
03-01-2022 15:30,0.49
03-01-2022 16:30,0.274
03-01-2022 17:30,0.028
03-01-2022 18:30,0
03-01-2022 19:30,0
03-01-2022 20:30,0
03-01-2022 21:30,0
03-01-2022 22:30,0
03-01-2022 23:30,0
04-01-2022 00:30,0
04-01-2022 01:30,0
04-01-2022 02:30,0
04-01-2022 03:30,0
04-01-2022 04:30,0
04-01-2022 05:30,0
04-01-2022 06:30,0.013
04-01-2022 07:30,0.271
04-01-2022 08:30,0.492
04-01-2022 09:30,0.639
04-01-2022 10:30,0.729
04-01-2022 11:30,0.772
04-01-2022 12:30,0.769
04-01-2022 13:30,0.721
04-01-2022 14:30,0.622
04-01-2022 15:30,0.47
04-01-2022 16:30,0.253
04-01-2022 17:30,0.023
04-01-2022 18:30,0
04-01-2022 19:30,0
04-01-2022 20:30,0
04-01-2022 21:30,0
04-01-2022 22:30,0
04-01-2022 23:30,0
05-01-2022 00:30,0
05-01-2022 01:30,0
05-01-2022 02:30,0
05-01-2022 03:30,0
05-01-2022 04:30,0
05-01-2022 05:30,0
05-01-2022 06:30,0.009
05-01-2022 07:30,0.233
05-01-2022 08:30,0.458
05-01-2022 09:30,0.614
05-01-2022 10:30,0.71
05-01-2022 11:30,0.768
05-01-2022 12:30,0.767
05-01-2022 13:30,0.721
05-01-2022 14:30,0.626
05-01-2022 15:30,0.476
05-01-2022 16:30,0.259
05-01-2022 17:30,0.024
05-01-2022 18:30,0
05-01-2022 19:30,0
05-01-2022 20:30,0
05-01-2022 21:30,0
05-01-2022 22:30,0
05-01-2022 23:30,0
06-01-2022 00:30,0
06-01-2022 01:30,0
06-01-2022 02:30,0
06-01-2022 03:30,0
06-01-2022 04:30,0
06-01-2022 05:30,0
06-01-2022 06:30,0.011
06-01-2022 07:30,0.25
06-01-2022 08:30,0.474
06-01-2022 09:30,0.626
06-01-2022 10:30,0.717
06-01-2022 11:30,0.747
06-01-2022 12:30,0.746
06-01-2022 13:30,0.699
06-01-2022 14:30,0.604
06-01-2022 15:30,0.449
06-01-2022 16:30,0.229
06-01-2022 17:30,0.019
06-01-2022 18:30,0
06-01-2022 19:30,0
06-01-2022 20:30,0
06-01-2022 21:30,0
06-01-2022 22:30,0
06-01-2022 23:30,0
07-01-2022 00:30,0
07-01-2022 01:30,0
07-01-2022 02:30,0
07-01-2022 03:30,0
07-01-2022 04:30,0
07-01-2022 05:30,0
07-01-2022 06:30,0.008
07-01-2022 07:30,0.22
07-01-2022 08:30,0.443
07-01-2022 09:30,0.601
07-01-2022 10:30,0.698
07-01-2022 11:30,0.753
07-01-2022 12:30,0.752
07-01-2022 13:30,0.704
07-01-2022 14:30,0.602
07-01-2022 15:30,0.448
07-01-2022 16:30,0.229
07-01-2022 17:30,0.019
07-01-2022 18:30,0
07-01-2022 19:30,0
07-01-2022 20:30,0
07-01-2022 21:30,0
07-01-2022 22:30,0
07-01-2022 23:30,0
08-01-2022 00:30,0
08-01-2022 01:30,0
08-01-2022 02:30,0
08-01-2022 03:30,0
08-01-2022 04:30,0
08-01-2022 05:30,0
08-01-2022 06:30,0.007
08-01-2022 07:30,0.212
08-01-2022 08:30,0.441
08-01-2022 09:30,0.601
08-01-2022 10:30,0.699
08-01-2022 11:30,0.732
08-01-2022 12:30,0.732
08-01-2022 13:30,0.684
08-01-2022 14:30,0.594
08-01-2022 15:30,0.436
08-01-2022 16:30,0.215
08-01-2022 17:30,0.017
08-01-2022 18:30,0
08-01-2022 19:30,0
08-01-2022 20:30,0
08-01-2022 21:30,0
08-01-2022 22:30,0
08-01-2022 23:30,0
09-01-2022 00:30,0
09-01-2022 01:30,0
09-01-2022 02:30,0
09-01-2022 03:30,0
09-01-2022 04:30,0
09-01-2022 05:30,0
09-01-2022 06:30,0.007
09-01-2022 07:30,0.197
09-01-2022 08:30,0.42
09-01-2022 09:30,0.582
09-01-2022 10:30,0.683
09-01-2022 11:30,0.744
09-01-2022 12:30,0.744
09-01-2022 13:30,0.696
09-01-2022 14:30,0.584
09-01-2022 15:30,0.428
09-01-2022 16:30,0.211
09-01-2022 17:30,0.017
