local_time,electricity
01-01-2022 00:30,0
01-01-2022 01:30,0
01-01-2022 02:30,0
01-01-2022 03:30,0
01-01-2022 04:30,0
01-01-2022 05:30,0
01-01-2022 06:30,0
01-01-2022 07:30,0.158
01-01-2022 08:30,0.419
01-01-2022 09:30,0.601
01-01-2022 10:30,0.707
01-01-2022 11:30,0.75
01-01-2022 12:30,0.753
01-01-2022 13:30,0.711
01-01-2022 14:30,0.609
01-01-2022 15:30,0.455
01-01-2022 16:30,0.232
01-01-2022 17:30,0.013
01-01-2022 18:30,0
01-01-2022 19:30,0
01-01-2022 20:30,0
01-01-2022 21:30,0
01-01-2022 22:30,0
01-01-2022 23:30,0
02-01-2022 00:30,0
02-01-2022 01:30,0
02-01-2022 02:30,0
02-01-2022 03:30,0
02-01-2022 04:30,0
02-01-2022 05:30,0
02-01-2022 06:30,0
02-01-2022 07:30,0.152
02-01-2022 08:30,0.412
02-01-2022 09:30,0.595
02-01-2022 10:30,0.701
02-01-2022 11:30,0.752
02-01-2022 12:30,0.759
02-01-2022 13:30,0.718
02-01-2022 14:30,0.624
02-01-2022 15:30,0.473
02-01-2022 16:30,0.249
02-01-2022 17:30,0.016
02-01-2022 18:30,0
02-01-2022 19:30,0
02-01-2022 20:30,0
02-01-2022 21:30,0
02-01-2022 22:30,0
02-01-2022 23:30,0
03-01-2022 00:30,0
03-01-2022 01:30,0
03-01-2022 02:30,0
03-01-2022 03:30,0
03-01-2022 04:30,0
03-01-2022 05:30,0
03-01-2022 06:30,0
03-01-2022 07:30,0.181
03-01-2022 08:30,0.444
03-01-2022 09:30,0.619
03-01-2022 10:30,0.723
03-01-2022 11:30,0.76
03-01-2022 12:30,0.762
03-01-2022 13:30,0.721
03-01-2022 14:30,0.616
03-01-2022 15:30,0.464
03-01-2022 16:30,0.243
03-01-2022 17:30,0.015
03-01-2022 18:30,0
03-01-2022 19:30,0
03-01-2022 20:30,0
03-01-2022 21:30,0
03-01-2022 22:30,0
03-01-2022 23:30,0
04-01-2022 00:30,0
04-01-2022 01:30,0
04-01-2022 02:30,0
04-01-2022 03:30,0
04-01-2022 04:30,0
04-01-2022 05:30,0
04-01-2022 06:30,0
04-01-2022 07:30,0.184
04-01-2022 08:30,0.443
04-01-2022 09:30,0.616
04-01-2022 10:30,0.717
04-01-2022 11:30,0.763
04-01-2022 12:30,0.767
04-01-2022 13:30,0.722
04-01-2022 14:30,0.617
04-01-2022 15:30,0.465
04-01-2022 16:30,0.232
04-01-2022 17:30,0.013
04-01-2022 18:30,0
04-01-2022 19:30,0
04-01-2022 20:30,0
04-01-2022 21:30,0
04-01-2022 22:30,0
04-01-2022 23:30,0
05-01-2022 00:30,0
05-01-2022 01:30,0
05-01-2022 02:30,0
05-01-2022 03:30,0
05-01-2022 04:30,0
05-01-2022 05:30,0
05-01-2022 06:30,0
05-01-2022 07:30,0.088
05-01-2022 08:30,0.295
05-01-2022 09:30,0.484
05-01-2022 10:30,0.632
05-01-2022 11:30,0.687
05-01-2022 12:30,0.683
05-01-2022 13:30,0.676
05-01-2022 14:30,0.58
05-01-2022 15:30,0.429
05-01-2022 16:30,0.212
05-01-2022 17:30,0.013
05-01-2022 18:30,0
05-01-2022 19:30,0
05-01-2022 20:30,0
05-01-2022 21:30,0
05-01-2022 22:30,0
05-01-2022 23:30,0
06-01-2022 00:30,0
06-01-2022 01:30,0
06-01-2022 02:30,0
06-01-2022 03:30,0
06-01-2022 04:30,0
06-01-2022 05:30,0
06-01-2022 06:30,0
06-01-2022 07:30,0.071
06-01-2022 08:30,0.275
06-01-2022 09:30,0.472
06-01-2022 10:30,0.602
06-01-2022 11:30,0.753
06-01-2022 12:30,0.764
06-01-2022 13:30,0.727
06-01-2022 14:30,0.628
06-01-2022 15:30,0.48
06-01-2022 16:30,0.258
06-01-2022 17:30,0.019
06-01-2022 18:30,0
06-01-2022 19:30,0
06-01-2022 20:30,0
06-01-2022 21:30,0
06-01-2022 22:30,0
06-01-2022 23:30,0
07-01-2022 00:30,0
07-01-2022 01:30,0
07-01-2022 02:30,0
07-01-2022 03:30,0
07-01-2022 04:30,0
07-01-2022 05:30,0
07-01-2022 06:30,0
07-01-2022 07:30,0.15
07-01-2022 08:30,0.419
07-01-2022 09:30,0.607
07-01-2022 10:30,0.722
07-01-2022 11:30,0.751
07-01-2022 12:30,0.755
07-01-2022 13:30,0.709
07-01-2022 14:30,0.602
07-01-2022 15:30,0.44
07-01-2022 16:30,0.211
07-01-2022 17:30,0.012
07-01-2022 18:30,0
07-01-2022 19:30,0
07-01-2022 20:30,0
07-01-2022 21:30,0
07-01-2022 22:30,0
07-01-2022 23:30,0
08-01-2022 00:30,0
08-01-2022 01:30,0
08-01-2022 02:30,0
08-01-2022 03:30,0
08-01-2022 04:30,0
08-01-2022 05:30,0
08-01-2022 06:30,0
08-01-2022 07:30,0.124
08-01-2022 08:30,0.377
08-01-2022 09:30,0.568
08-01-2022 10:30,0.68
08-01-2022 11:30,0.737
08-01-2022 12:30,0.742
08-01-2022 13:30,0.696
08-01-2022 14:30,0.59
08-01-2022 15:30,0.426
08-01-2022 16:30,0.198
08-01-2022 17:30,0.011
08-01-2022 18:30,0
08-01-2022 19:30,0
08-01-2022 20:30,0
08-01-2022 21:30,0
08-01-2022 22:30,0
08-01-2022 23:30,0
09-01-2022 00:30,0
09-01-2022 01:30,0
09-01-2022 02:30,0
09-01-2022 03:30,0
09-01-2022 04:30,0
09-01-2022 05:30,0
09-01-2022 06:30,0
09-01-2022 07:30,0.142
09-01-2022 08:30,0.403
09-01-2022 09:30,0.588
09-01-2022 10:30,0.697
09-01-2022 11:30,0.722
09-01-2022 12:30,0.723
09-01-2022 13:30,0.674
09-01-2022 14:30,0.562
09-01-2022 15:30,0.398
09-01-2022 16:30,0.178
09-01-2022 17:30,0.01
09-01-2022 18:30,0
09-01-2022 19:30,0
