local_time,electricity
01-01-2022 00:30,0
01-01-2022 01:30,0
01-01-2022 02:30,0
01-01-2022 03:30,0
01-01-2022 04:30,0
01-01-2022 05:30,0
01-01-2022 06:30,0
01-01-2022 07:30,0.154
01-01-2022 08:30,0.411
01-01-2022 09:30,0.595
01-01-2022 10:30,0.699
01-01-2022 11:30,0.753
01-01-2022 12:30,0.751
01-01-2022 13:30,0.681
01-01-2022 14:30,0.585
01-01-2022 15:30,0.418
01-01-2022 16:30,0.17
01-01-2022 17:30,0
01-01-2022 18:30,0
01-01-2022 19:30,0
01-01-2022 20:30,0
01-01-2022 21:30,0
01-01-2022 22:30,0
01-01-2022 23:30,0
02-01-2022 00:30,0
02-01-2022 01:30,0
02-01-2022 02:30,0
02-01-2022 03:30,0
02-01-2022 04:30,0
02-01-2022 05:30,0
02-01-2022 06:30,0
02-01-2022 07:30,0.113
02-01-2022 08:30,0.364
02-01-2022 09:30,0.559
02-01-2022 10:30,0.674
02-01-2022 11:30,0.75
02-01-2022 12:30,0.751
02-01-2022 13:30,0.699
02-01-2022 14:30,0.601
02-01-2022 15:30,0.429
02-01-2022 16:30,0.179
02-01-2022 17:30,0
02-01-2022 18:30,0
02-01-2022 19:30,0
02-01-2022 20:30,0
02-01-2022 21:30,0
02-01-2022 22:30,0
02-01-2022 23:30,0
03-01-2022 00:30,0
03-01-2022 01:30,0
03-01-2022 02:30,0
03-01-2022 03:30,0
03-01-2022 04:30,0
03-01-2022 05:30,0
03-01-2022 06:30,0
03-01-2022 07:30,0.124
03-01-2022 08:30,0.377
03-01-2022 09:30,0.567
03-01-2022 10:30,0.677
03-01-2022 11:30,0.76
03-01-2022 12:30,0.758
03-01-2022 13:30,0.704
03-01-2022 14:30,0.569
03-01-2022 15:30,0.39
03-01-2022 16:30,0.145
03-01-2022 17:30,0
03-01-2022 18:30,0
03-01-2022 19:30,0
03-01-2022 20:30,0
03-01-2022 21:30,0
03-01-2022 22:30,0
03-01-2022 23:30,0
04-01-2022 00:30,0
04-01-2022 01:30,0
04-01-2022 02:30,0
04-01-2022 03:30,0
04-01-2022 04:30,0
04-01-2022 05:30,0
04-01-2022 06:30,0
04-01-2022 07:30,0.053
04-01-2022 08:30,0.209
04-01-2022 09:30,0.347
04-01-2022 10:30,0.514
04-01-2022 11:30,0.547
04-01-2022 12:30,0.5
04-01-2022 13:30,0.366
04-01-2022 14:30,0.22
04-01-2022 15:30,0.099
04-01-2022 16:30,0.027
04-01-2022 17:30,0
04-01-2022 18:30,0
04-01-2022 19:30,0
04-01-2022 20:30,0
04-01-2022 21:30,0
04-01-2022 22:30,0
04-01-2022 23:30,0
05-01-2022 00:30,0
05-01-2022 01:30,0
05-01-2022 02:30,0
05-01-2022 03:30,0
05-01-2022 04:30,0
05-01-2022 05:30,0
05-01-2022 06:30,0
05-01-2022 07:30,0.125
05-01-2022 08:30,0.373
05-01-2022 09:30,0.558
05-01-2022 10:30,0.664
05-01-2022 11:30,0.699
05-01-2022 12:30,0.69
05-01-2022 13:30,0.627
05-01-2022 14:30,0.498
05-01-2022 15:30,0.309
05-01-2022 16:30,0.094
05-01-2022 17:30,0
05-01-2022 18:30,0
05-01-2022 19:30,0
05-01-2022 20:30,0
05-01-2022 21:30,0
05-01-2022 22:30,0
05-01-2022 23:30,0
06-01-2022 00:30,0
06-01-2022 01:30,0
06-01-2022 02:30,0
06-01-2022 03:30,0
06-01-2022 04:30,0
06-01-2022 05:30,0
06-01-2022 06:30,0
06-01-2022 07:30,0.068
06-01-2022 08:30,0.294
06-01-2022 09:30,0.514
06-01-2022 10:30,0.652
06-01-2022 11:30,0.673
06-01-2022 12:30,0.688
06-01-2022 13:30,0.643
06-01-2022 14:30,0.485
06-01-2022 15:30,0.315
06-01-2022 16:30,0.104
06-01-2022 17:30,0
06-01-2022 18:30,0
06-01-2022 19:30,0
06-01-2022 20:30,0
06-01-2022 21:30,0
06-01-2022 22:30,0
06-01-2022 23:30,0
07-01-2022 00:30,0
07-01-2022 01:30,0
07-01-2022 02:30,0
07-01-2022 03:30,0
07-01-2022 04:30,0
07-01-2022 05:30,0
07-01-2022 06:30,0
07-01-2022 07:30,0.155
07-01-2022 08:30,0.422
07-01-2022 09:30,0.609
07-01-2022 10:30,0.718
07-01-2022 11:30,0.776
07-01-2022 12:30,0.773
07-01-2022 13:30,0.718
07-01-2022 14:30,0.603
07-01-2022 15:30,0.423
07-01-2022 16:30,0.168
07-01-2022 17:30,0
07-01-2022 18:30,0
07-01-2022 19:30,0
07-01-2022 20:30,0
07-01-2022 21:30,0
07-01-2022 22:30,0
07-01-2022 23:30,0
08-01-2022 00:30,0
08-01-2022 01:30,0
08-01-2022 02:30,0
08-01-2022 03:30,0
08-01-2022 04:30,0
08-01-2022 05:30,0
08-01-2022 06:30,0
08-01-2022 07:30,0.152
08-01-2022 08:30,0.418
08-01-2022 09:30,0.605
08-01-2022 10:30,0.714
08-01-2022 11:30,0.764
08-01-2022 12:30,0.76
08-01-2022 13:30,0.702
08-01-2022 14:30,0.583
08-01-2022 15:30,0.398
08-01-2022 16:30,0.148
08-01-2022 17:30,0
08-01-2022 18:30,0
08-01-2022 19:30,0
08-01-2022 20:30,0
08-01-2022 21:30,0
08-01-2022 22:30,0
08-01-2022 23:30,0
09-01-2022 00:30,0
09-01-2022 01:30,0
09-01-2022 02:30,0
09-01-2022 03:30,0
09-01-2022 04:30,0
09-01-2022 05:30,0
09-01-2022 06:30,0
09-01-2022 07:30,0.122
09-01-2022 08:30,0.371
09-01-2022 09:30,0.563
09-01-2022 10:30,0.676
09-01-2022 11:30,0.731
09-01-2022 12:30,0.728
09-01-2022 13:30,0.673
09-01-2022 14:30,0.585
09-01-2022 15:30,0.41
09-01-2022 16:30,0.163
09-01-2022 17:30,0
09-01-2022 18:30,0
09-01-2022 19:30,0
09-01-2022 20:30,0
